City/Town Name,County Name,Population 2020,,,,
Washtucna,Adams,210.00,,,,
Waterville,Douglas,1195.00,,,,
Waverly,Spokane,135.00,,,,
Wenatchee,Chelan,35140.00,,,,
West Richland,Benton,15710.00,,,,
Westport,Grays Harbor,2135.00,,,,
White Salmon,Klickitat,2710.00,,,,
Wilbur,Lincoln,890.00,,,,
Wilkeson,Pierce,495.00,,,,
Wilson Creek,Grant,215.00,,,,
Winlock,Lewis,1400.00,,,,
Winthrop,Okanogan,500.00,,,,
Woodinville,King,12790.00,,,,
Woodland,Clark/Cowlitz,6480.00,,,,
Woodway,Snohomish,1360.00,,,,
Yacolt,Clark,1825.00,,,,
Yakima,Yakima,95490.00,,,,
Yarrow Point,King,1030.00,,,,
Yelm,Thurston,9400.00,,,,
Zillah,Yakima,3200.00,,,,
